country_name,country_code,fert_rate,gdp_us_billion,health_exp_per_cap,health_exp_pub,prim_ed_girls,mat_mort_ratio,population
Aruba,ABW,1.6632500000000001,,,,48.72193908691407,,0.1037444
Afghanistan,AFG,4.9544999999999995,19.96101509410936,161.13803393333333,2.834597872880073,40.109707832336454,444.0,32.715838399999996
Angola,AGO,6.123000000000001,111.93654213391927,254.7479702166667,2.447545696861253,,501.25,26.9375448
Albania,ALB,1.76925,12.327585927329762,574.20269424,2.83602053709045,47.20108222961425,29.25,2.8882802
Andorra,AND,,3.197538228940905,4421.22493285,7.26028089180809,47.12334537506103,,0.07954739999999999
United Arab Emirates,ARE,1.7930000000000001,375.02708233739196,2202.4075691900002,2.5811678517954797,48.7892599105835,6.0,9.080299400000001
Argentina,ARG,2.3280000000000003,550.9809679060664,1148.2561422766667,2.782215559877803,48.91580963134766,53.75,42.9766748
Armenia,ARM,1.5455,10.88536249785674,348.66388423333336,1.9160160682579335,46.7821798324585,27.25,2.9046833999999997
American Samoa,ASM,,0.6405,,,,,0.055422
Antigua and Barbuda,ATG,2.082,1.2982134592592602,1152.49365642,3.6765135676954297,48.291463216145836,,0.0988724
Australia,AUS,1.8615000000000002,1422.9941164493941,4256.058988286667,6.292381022140567,48.57670688629152,6.0,23.4445596
Austria,AUT,1.4549999999999998,407.49427640618666,4930.298892726666,8.504276239564676,48.55607795715333,4.0,8.5662936
Azerbaijan,AZE,1.98,62.00300133208121,956.7097182566667,1.1972493259338735,46.157362937927275,25.25,9.5318558
Burundi,BDI,5.992249999999999,2.8769783077167985,59.69382980333334,4.4337486485913,50.48197078704835,747.25,9.9070146
Belgium,BEL,1.7550000000000001,494.2218355668306,4297.838005316667,8.221002516082557,48.86467456817628,7.0,11.228495
Benin,BEN,4.80675,8.778150629403713,83.72618966,2.206915534987997,47.21112728118897,417.5,10.2937146
Burkina Faso,BFA,5.564500000000001,11.753054368917898,87.14300884333333,3.02124589645002,48.21751976013182,384.25,17.5973946
Bangladesh,BGD,2.19325,174.5450993962128,85.96884353333333,0.8604467290934728,50.46056365966795,194.75,159.371214
Bulgaria,BGR,1.51,53.79761218192304,1266.8570031233332,4.24343723450253,48.31080245971678,10.75,7.2201508
Bahrain,BHR,2.06525,32.004010638297885,2030.1583157133334,2.9763856446069767,49.1168384552002,15.25,1.3498101999999998
"Bahamas, The",BHS,1.8772499999999999,8.688,1727.12838465,3.30862589660908,,81.5,0.38190359999999995
Bosnia and Herzegovina,BIH,1.267,17.323327125519377,941.5046552766667,6.841020543675686,48.6349048614502,11.75,3.5743956
Belarus,BLR,1.677,64.7829419100038,986.2367572066665,3.876601439555053,48.685741424560554,4.0,9.4803478
Belize,BLZ,2.59475,1.68032497,471.96746478666665,3.744844009097593,48.31723785400393,29.25,0.35176359999999995
Bermuda,BMU,1.6175,5.5556235,,,48.42358779907225,,0.0651008
Bolivia,BOL,2.99525,31.50932364688857,381.00759408,4.1920309648417335,48.4641752243042,218.25,10.5628028
Brazil,BRA,1.7952499999999998,2198.7656061029797,1303.1991035233334,3.7734729787537034,47.78457736968995,49.5,204.1595442
Barbados,BRB,1.79225,4.41308,1062.8400879033334,4.828679965783366,48.8781814575195,28.0,0.28333840000000005
Brunei Darussalam,BRN,1.884,15.719222550064279,1795.9241604266665,2.3351937441729635,48.5236988067627,23.75,0.41158120000000004
Bhutan,BTN,2.06125,1.9751453218996398,277.5266699633333,2.7069084526077667,49.572296142578125,161.75,0.7759054000000001
Botswana,BWA,2.8449999999999998,15.11339476560472,880.9092020666667,3.5520706486634097,48.84400939941406,138.75,2.1691704
Central African Republic,CAF,4.32775,1.7491098708109576,27.07032986,1.912777361775013,42.9607009887695,875.75,4.5292364
Canada,CAN,1.6002999999999998,1708.47362665977,4616.5391338733325,7.54624712193232,48.8089256286621,7.25,35.517119
Switzerland,CHE,1.53,676.6423587834814,6335.436387973333,7.642569254707826,48.5563278198242,5.25,8.18587
Chile,CHL,1.76825,259.208553907653,1650.5398007200001,3.6534318657023164,48.31952285766602,23.0,17.6117922
China,CHN,1.55875,10182.790478745175,657.7488592033333,3.015529819745927,46.29796409606933,28.75,1364.446
Cote d'Ivoire,CIV,5.030500000000001,32.53587528942458,178.43500299666667,1.78672395530591,46.22489452362058,678.25,22.5441312
Cameroon,CMR,4.7435,28.1421555748557,120.47446314666666,1.0059501538261901,46.69107691446937,614.0,22.2503426
