Determinants of Wages from the 1985 Current Population Survey

Summary:
	The Current Population Survey (CPS) is used to supplement census information between census years. These data consist of a random sample of 534 persons from the CPS, with information on wages and other characteristics of the workers, including sex, number of years of education, years of work experience, occupational status, region of residence and union membership. We wish to determine (i) whether wages are related to these characteristics and (ii) whether there is a gender gap in wages. 
	Based on residual plots, wages were log-transformed to stabilize the variance. Age and work experience were almost perfectly correlated (r=.98). Multiple regression of log wages against sex, age, years of education, work experience, union membership, southern residence, and occupational status showed that these covariates were related to wages (pooled F test, p < .0001). The effect of age was not significant after controlling for experience. Standardized residual plots showed no patterns, except for one large outlier with lower wages than expected. This was a male, with 22 years of experience and 12 years of education, in a management position, who lived in the north and was not a union member. Removing this person from the analysis did not substantially change the results, so that the final model included the entire sample. 
	Adjusting for all other variables in the model, females earned 81% (75%, 88%) the wages of males (p < .0001). Wages increased 41% (28%, 56%) for every 5 additional years of education (p < .0001). They increased by 11% (7%, 14%) for every additional 10 years of experience (p < .0001). Union members were paid 23% (12%, 36%) more than non-union members (p < .0001). Northerns were paid 11% (2%, 20%) more than southerns (p =.016). Management and professional positions were paid most, and service and clerical positions were paid least (pooled F-test, p < .0001). Overall variance explained was R2 = .35. 
	In summary, many factors describe the variations in wages: occupational status, years of experience, years of education, sex, union membership and region of residence. However, despite adjustment for all factors that were available, there still appeared to be a gender gap in wages. There is no readily available explanation for this gender gap.

Authorization: Public Domain

Reference: Berndt, ER. The Practice of Econometrics. 1991. NY: Addison-Wesley.

Description:  The datafile contains 534 observations on 11 variables sampled from the Current Population Survey of 1985.  This data set demonstrates multiple regression, confounding, transformations, multicollinearity, categorical variables, ANOVA, pooled tests of significance, interactions and model building strategies.

Variable names in order from left to right:
	EDUCATION: Number of years of education.
	SOUTH: Indicator variable for Southern Region (1=Person lives in 		South, 0=Person lives elsewhere).
	SEX: Indicator variable for sex (1=Female, 0=Male).
	EXPERIENCE: Number of years of work experience.
	UNION: Indicator variable for union membership (1=Union member, 		0=Not union member).
	WAGE: Wage (dollars per hour).
	AGE: Age (years).
	RACE: Race (1=Other, 2=Hispanic, 3=White).
	OCCUPATION: Occupational category (1=Management, 		2=Sales, 3=Clerical, 4=Service, 5=Professional, 6=Other).
	SECTOR: Sector (0=Other, 1=Manufacturing, 2=Construction).
	MARR: Marital Status (0=Unmarried,  1=Married)

8	0	1	21	0	5.1	35	2	6	1	1
9	0	1	42	0	4.95	57	3	6	1	1
12	0	0	1	0	6.67	19	3	6	1	0
12	0	0	4	0	4	22	3	6	0	0
12	0	0	17	0	7.5	35	3	6	0	1
13	0	0	9	1	13.07	28	3	6	0	0
10	1	0	27	0	4.45	43	3	6	0	0
12	0	0	9	0	19.47	27	3	6	0	0
16	0	0	11	0	13.28	33	3	6	1	1
12	0	0	9	0	8.75	27	3	6	0	0
12	0	0	17	1	11.35	35	3	6	0	1
12	0	0	19	1	11.5	37	3	6	1	0
8	1	0	27	0	6.5	41	3	6	0	1
9	1	0	30	1	6.25	45	3	6	0	0
9	1	0	29	0	19.98	44	3	6	0	1
12	0	0	37	0	7.3	55	3	6	2	1
7	1	0	44	0	8	57	3	6	0	1
12	0	0	26	1	22.2	44	3	6	1	1
11	0	0	16	0	3.65	33	3	6	0	0
12	0	0	33	0	20.55	51	3	6	0	1
12	0	1	16	1	5.71	34	3	6	1	1
7	0	0	42	1	7	55	1	6	1	1
12	0	0	9	0	3.75	27	3	6	0	0
11	1	0	14	0	4.5	31	1	6	0	1
12	0	0	23	0	9.56	41	3	6	0	1
6	1	0	45	0	5.75	57	3	6	1	1
12	0	0	8	0	9.36	26	3	6	1	1
10	0	0	30	0	6.5	46	3	6	0	1
12	0	1	8	0	3.35	26	3	6	1	1
12	0	0	8	0	4.75	26	3	6	0	1
14	0	0	13	0	8.9	33	3	6	0	0
12	1	1	46	0	4	64	3	6	0	0
8	0	0	19	0	4.7	33	3	6	0	1
17	1	1	1	0	5	24	3	6	0	0
12	0	0	19	0	9.25	37	3	6	1	0
12	0	0	36	0	10.67	54	1	6	0	0
12	1	0	20	0	7.61	38	1	6	2	1
12	0	0	35	1	10	53	1	6	2	1
12	0	0	3	0	7.5	21	3	6	0	0
14	1	0	10	0	12.2	30	3	6	1	1
12	0	0	0	0	3.35	18	3	6	0	0
14	1	0	14	1	11	34	3	6	1	1
12	0	0	14	0	12	32	3	6	1	1
9	0	1	16	0	4.85	31	3	6	1	1
13	1	0	8	0	4.3	27	3	6	2	0
7	1	1	15	0	6	28	3	6	1	1
16	0	0	12	0	15	34	3	6	1	1
10	1	0	13	0	4.85	29	3	6	0	0
8	0	0	33	1	9	47	3	6	0	1
12	0	0	9	0	6.36	27	3	6	1	1
12	0	0	7	0	9.15	25	3	6	0	1
16	0	0	13	1	11	35	3	6	1	1
12	0	1	7	0	4.5	25	3	6	1	1
12	0	1	16	0	4.8	34	3	6	1	1
13	0	0	0	0	4	19	3	6	0	0
12	0	1	11	0	5.5	29	3	6	1	0
13	0	0	17	0	8.4	36	3	6	1	0
10	0	0	13	0	6.75	29	3	6	1	1
12	0	0	22	1	10	40	1	6	1	0
12	0	1	28	0	5	46	3	6	1	1
11	0	0	17	0	6.5	34	3	6	0	0
12	0	0	24	1	10.75	42	3	6	2	1
3	1	0	55	0	7	64	2	6	1	1
