#2006	2005	2004	2003	2002	2001
38.2	37.1	37.1	38.1	36.7	39.6
26.9	18.3	24.4	24.3	24.2	20.9
26.2	26.2	25.6	24.9	24.4	23.6
27.4	25.7	25.6	23.9	23.0	21.5
28.0	26.3	24.4	23.5	22.3	21.8
28.0	27.0	25.2	24.7	24.5	23.4
31.9	31.0	30.9	31.0	30.6	29.9
23.5	23.6	23.6	23.6	23.6	22.3
26.6	26.1	25.7	23.5	24.8	23.8
52.9	53.6	53.6	56.3	54.7	44.1
41.0	27.0	27.0	32.0	31.4	17.6
40.4	39.7	38.7	36.6	35.7	34.4
32.1	32.3	32.3	32.2	31.7	30.6
17.4	18.2	19.1	17.9	18.2	18.5
50.1	49.8	49.9	50.0	50.6	50.6
25.2	23.5	24.3	24.3	22.3	19.8
37.8	34.5	34.1	33.3	30.5	30.5
16.3	15.7	15.6	15.3	15.1	13.1
14.8	14.9	14.6	13.7	14.1	14
51.4	50.2	50.0	47.5	49.2	50.9
33.5	37.1	32.9	32.6	32.3	32.1

